division,title,abstract,subjects,publication,date,keywords
,Pelatihan Pembuatan Flos-Insecta Embedding sebagai Cinderamata Masyarakat Sekitar Kebun Raya Liwa Kabupaten Lampung Barat,,"GV, HT, NK, Q1, SB",Tabikpun,,
FT9,LOGO DIES 55 UNIVERSITAS LAMPUNG,"ARTI LOGO :

Bentuk Setengah Lingkaran Berwarna Kuning, memiliki arti Surya/Matahari yang bersinar dengan membawa kemakmuran, kegemilangan, berwarna kuning denan latar depan siluet orang dengan keceriaan, merupakan dominasi warna Universitas Lampung, sebagai wadah pendidikan yang mampu menghantarkan civitas akademisnya meraih kesuksesan.
Siluet Garis Horizon berwarna Biru, merupakan Fakultas Penyelenggara yang dalam Hal ini adalah FKIP dan Fakultas Teknik.
Riak Gelombang Ungu yang menyerupai tangan menengadah, merupakan refleksi keluasan ilmu pengetahuan, dan keleluasaan keilmuan (kurikulum merdeka) yang mampu mencapai ke seluruh ruang dan tempat dan mampu beradaptasi dengan kondisi apapun dan dimanapun, dengan tetap menjadikan kebesaran Tuhan YME, Allah SWT sebagai satu-satunya sumber dari segala Ilmu dalam Kehidupan.
Siluet Pohon, Orang sebagai Tunas, dengan Daun Berwarna-warni, merefleksikan Kemampuan & Komitmen Unila untuk mampu Menciptakan Generasi yang Unggul, melalui sejumlah Fakultas yang dimilikinya.","N1, NC, ND, NE, NK, NX",,2020-07,
